"1","青春","せいしゅん","Thanh xuân","THANH XUÂN","青春時代を懐かしく思い出す","Tôi hoài niệm về thời thanh xuân","私の青春は終わった","Thời thanh xuân của tôi đã hết","一生のうちで青春なんて一度しかない","Trong cuộc đời này, thời thanh xuân chỉ có một lần mà thôi",
"2","晩年","ばんねん","Những năm cuối đời, xế bóng","VÃN NIÊN","彼は若い頃は不遇だったが、晩年は幸せに過ごした","Mặc dù tuổi trẻ không may mắn nhưng ông sống hạnh phúc trong những năm cuối đời",
"3","葬式","そうしき","Lễ tang, đám tang","TÁNG THỨC",
"4","世帯","せたい","Hộ gia đình","THẾ ĐỚI",
"5","世間","せけん","Thế gian, xã hội, đời","THẾ GIAN",
"6","庶民","しょみん","Dân đen, dân thường","THỨ DÂN",
"7","おんぶ","おんぶ","Địu, võng vật, cõng người trên lưng","","娘をおんぶする","Cõng con gái trên lưng",
"8","片言","かたこと","Bập bẹ vài từ, biết bập bõm","PHIẾN NGÔN",
"9","夜更かし","よふかし","Thức khuya, cú đêm","DẠ CANH",
"10","家出","いえで","Bỏ nhà, bỏ nhà ra đi, ra khỏi nhà","GIA XUẤT",
"11","戸締り","とじまり","Khóa cửa","HỘ ĐẾ",
"12","ずぶぬれ","ずぶぬれ","Ướt đẫm","",
"13","顔つき","かおつき","Vẻ mặt, nét mặt","NHAN PHÓ",
"14","身なり","みなり","Diện mạo","THÂN",
"15","身の回り","みのまわり","Việc hàng ngày, những thứ xung quanh","THÂN HỒI",
"16","身振り","みぶり","Điệu bộ, cử chỉ","THÂN CHẤN",
"17","良心","りょうしん","Lương tâm","LƯƠNG TÂM",
"18","素質","そしつ","Tố chất, năng khiếu","TỐ CHẤT",
"19","好意","こうい","Cảm tình, thiện ý","HẢO Ý",
"20","ため息","ためいき","Tiếng thở dài","TỨC",
"21","ど忘れ","どわすれ","Tự dưng quên béng mất, đãng trí","VONG",
"22","用心","ようじん","Cẩn trọng","DỤNG TÂM",
"23","予感","よかん","Dự cảm, linh tính, điềm","DỰ CẢM",
"24","視線","しせん","Ánh nhìn","THỊ TUYẾN",
"25","迷信","めいしん","Mê tín","MÊ TÍN",
"26","縁","えん","Duyên nợ, mối liên hệ, liên quan","DUYÊN",
"27","使い捨て","つかいすて","Dùng một lần xong bỏ đi","SỬ XẢ",
"28","下取り","したどり","Mua đổi, trao đổi, đổi cũ lấy mới","HẠ THỦ",
"29","倹約","けんやく","Tiết kiệm","KIỆM ƯỚC",
"30","出費","しゅっぴ","Chi phí, chi tiêu","XUẤT PHÍ",
"31","会計","かいけい","Kế toán, tính tiền","HỘI KẾ",
"32","所得","しょとく","Thu nhập sau khi đã trừ các chi phí","SỞ ĐẮC",
"33","採用","さいよう","Tuyển dụng, áp dụng, chọn dùng, thuê mướn","THẢI DỤNG",
"34","雇用","こよう","Tuyển dụng","CỐ DỤNG",
"35","所属","しょぞく","Thuộc về, trực thuộc, trở thành thành viên","SỞ CHÚC",
"36","待遇","たいぐう","Đãi ngộ","ĐÃI NGỘ",
"37","派遣","はけん","Phái cử","PHÁI KHIẾN",
"38","赴任","ふにん","Nhậm chức (ở nơi khác)","PHÓ NHẬM",
"39","地元","じもと","Địa phương, quê quán, nguyên quán","ĐỊA NGUYÊN",
"40","現役","げんえき","Đương chức, chức vụ hiện tại","HIỆN DỊCH",
"41","指図","さしず","Hướng dẫn, mệnh lệnh, ra lệnh, chỉ huy","CHỈ ĐỒ",
"42","操縦","そうじゅう","Điều khiển, thao tác, lái","THAO TÚNG",
"43","主食","しゅしょく","Thức ăn chủ yếu, thức ăn chính","CHỦ THỰC",
"44","食物","しょくもつ","Đồ ăn","THỰC VẬT",
"45","穀物","こくもつ","Ngũ cốc","CỐC VẬT",
"46","豊作","ほうさく","Mùa màng bội thu","PHONG TÁC",
"47","例年","れいねん","Mọi năm, thường niên, thường lệ","LỆ NIÊN",
"48","種","たね","Hạt","CHỦNG",
"49","とげ","とげ","Gai","",
"50","毒","どく","Độc, có hại","ĐỘC",
